click_id,customer_id,campaign_id,offer_category,channel,clicked_at
50000001,1,CAMP_HOME,home,web,2026-05-10 19:36:10
50000002,1,CAMP_HOME,home,sms,2026-05-23 19:38:28
50000003,1,CAMP_HOME,home,app,2026-03-30 19:31:19
50000004,2,CAMP_HOME,home,email,2026-05-14 19:33:18
50000005,2,CAMP_HOME,home,app,2025-11-02 19:39:30
50000006,2,CAMP_HOME,home,app,2025-10-15 19:38:16
50000007,2,CAMP_HOME,home,app,2026-05-30 19:33:34
50000008,2,CAMP_HOME,home,app,2026-04-08 19:35:54
50000009,2,CAMP_HOME,home,email,2026-04-22 19:40:18
50000010,3,CAMP_HOME,home,email,2025-12-18 19:36:41
50000011,3,CAMP_HOME,home,app,2026-05-03 19:31:58
50000012,3,CAMP_HOME,home,app,2026-03-13 19:33:50
50000013,3,CAMP_HOME,home,sms,2025-11-14 19:35:39
50000014,4,CAMP_HOME,home,sms,2025-08-29 19:35:38
50000015,4,CAMP_HOME,home,sms,2025-12-13 19:34:04
50000016,4,CAMP_HOME,home,sms,2026-03-11 19:35:25
50000017,4,CAMP_HOME,home,web,2025-10-02 19:36:53
50000018,4,CAMP_HOME,home,app,2025-10-30 19:34:52
50000019,4,CAMP_HOME,home,app,2026-03-15 19:31:09
50000020,5,CAMP_HOME,home,email,2025-10-23 19:33:16
50000021,5,CAMP_HOME,home,email,2026-04-02 19:33:19
50000022,5,CAMP_HOME,home,web,2025-10-20 19:39:49
50000023,5,CAMP_HOME,home,app,2026-04-21 19:40:16
50000024,5,CAMP_HOME,home,email,2026-04-12 19:36:03
50000025,7,CAMP_HOME,home,sms,2025-11-15 19:39:45
50000026,7,CAMP_HOME,home,app,2026-03-09 19:32:15
50000027,7,CAMP_HOME,home,sms,2026-02-03 19:33:25
50000028,7,CAMP_HOME,home,sms,2026-03-15 19:37:16
50000029,7,CAMP_HOME,home,sms,2025-06-10 19:38:02
50000030,7,CAMP_HOME,home,app,2026-04-15 19:32:29
50000031,7,CAMP_HOME,home,email,2025-07-23 19:39:01
50000032,7,CAMP_EDUCATION,education,sms,2026-03-31 19:37:45
50000033,8,CAMP_HOME,home,sms,2026-05-07 19:39:16
50000034,8,CAMP_HOME,home,web,2026-04-06 19:40:39
50000035,8,CAMP_HOME,home,web,2026-05-28 19:40:48
50000036,8,CAMP_HOME,home,sms,2026-05-06 19:35:55
50000037,8,CAMP_HOME,home,app,2026-04-21 19:37:16
